participant_id,monitoring_difficulty,monitoring_frequency,strategies_used_ES
P01,Regular,Siempre,Hablandole con buena manera
P02,Complejo,Siempre,Con llamados de atención
P03,Regular,Siempre,Con estímulos
P04,Fácil,Siempre,Con llamados de atención
P05,Regular,Casi Siempre,Con buenas palabras
P06,Fácil,Siempre,Con buenas palabras
P07,Fácil,Casi Siempre,Hablándole del futuro que le espera
P08,Complejo,Casi Siempre,Con condiciones a salidas al parque
P09,Complejo,Casi Siempre,Se le habla muchas veces
P10,Fácil,A veces,Hablando ques lo mejor para su futuro
P11,Regular,A veces,Compensación con juegos
P12,Regular,A veces,Hablando con ellos
P13,Complejo,A veces,Llamados de atención
P14,Regular,Casi Siempre,Llamados de atención
P15,Regular,A veces,Llamados de atención
P16,Complejo,Siempre,Salidas al parque cuando termine las tareas
P17,Complejo,Siempre,"De todo, premios y castigos"
P18,Complejo,Siempre,Hablando que es or su bien.
P19,Fácil,Siempre,Compensación con golosinas
