participant_id,child_index,guardian_age,guardian_education,guardian_gender,residence_area,guardian_occupation,internet_type,school_type,supervision_time_h,child_age,statement_1,statement_2,statement_3,statement_4,statement_5,statement_6,statement_7
P01,1,48,PRIMARIA,F,RURAL,AGRICULTORA,MOVIL DATOS,FISCAL,2,10,5,4,3,4,4,5,5
P02,1,45,PRIMARIA,F,RURAL,AGRICULTORA,MOVIL DATOS,FISCAL,3,8,4,4,2,4,4,4,4
P03,1,42,SECUNDARIA,F,RURAL,AMA DE CASA,WIFI Y DATOS MÓVILES,FISCAL,2,12,4,5,4,5,4,4,5
P04,1,65,PRIMARIA,M,RURAL,AGRICULTOR,WIFI,FISCAL,2,12,3,3,1,2,3,3,3
P05,1,43,PRIMARIA,F,RURAL,AGRICULTORA,WIFI,FISCAL,2,9,5,5,3,5,5,5,5
P06,1,26,SECUNDARIA,F,URBANA,BACHILLER CIENCIAS,MOVIL DATOS,FISCAL,1,7,4,4,3,4,4,5,5
P07,1,40,SECUNDARIA,F,URBANA,BACHILLER EN QUÍMICO BIÓLOGO,WIFI Y DATOS MÓVILES,FISCAL,2,12,3,5,4,5,5,5,5
P08,1,25,SECUNDARIA,F,URBANA,BACHILLER AGROPECUARIA,WIFI,FISCAL,2,7,5,5,2,3,4,4,4
P09,1,29,SECUNDARIA,F,URBANA,BACHILLER CIENCIAS,WIFI,FISCAL,2,8,4,4,3,2,3,4,4
P10,1,48,SECUNDARIA,F,URBANA,BACHILLER EN CIENCIAS,WIFI Y DATOS MÓVILES,PARTICULAR,1,11,3,4,4,5,5,5,5
P11,1,44,PRIMARIA,M,RURAL,AGRICULTOR,WIFI,FISCAL,3,9,5,5,3,3,4,5,5
P12,1,32,SUPERIOR,M,URBANA,ESTUDIANTE DE INGENIERÍA COMERCIAL,WIFI Y DATOS MÓVILES,PARTICULAR,2,9,4,5,3,5,4,5,5
P12,2,32,SUPERIOR,M,URBANA,ESTUDIANTE DE INGENIERÍA COMERCIAL,WIFI Y DATOS MÓVILES,PARTICULAR,2,11,4,4,3,5,4,4,5
P13,1,39,PRIMARIA,M,RURAL,AGRICULTOR,WIFI,FISCAL,2,8,5,5,4,4,5,5,5
P14,1,35,SUPERIOR,F,URBANA,BACHILLER EN CIENCIAS,WIFI,FISCAL,2,10,5,4,3,5,4,4,5
P15,1,46,PRIMARIA,M,RURAL,AGRICULTOR,WIFI,FISCAL,1,11,3,4,1,3,3,3,3
P16,1,32,SECUNDARIA,F,URBANA,BACHILLER CIENCIAS,MOVIL DATOS,FISCAL,2,12,5,4,4,4,5,5,5
P17,1,42,SECUNDARIA,F,URBANA,TÉCNICO DE ALTA COSTURA,WIFI,PARTICULAR,3,8,4,5,3,5,5,5,5
P17,2,42,SECUNDARIA,F,URBANA,TÉCNICO DE ALTA COSTURA,WIFI,PARTICULAR,2,6,5,5,4,5,4,4,5
P18,1,74,PRIMARIA,F,RURAL,AMA DE CASA,WIFI Y DATOS MÓVILES,FISCAL,2,7,5,5,4,5,4,5,5
P19,1,28,SECUNDARIA,F,URBANA,BACHILLER AGROPECUARIA,WIFI,FISCAL,1,9,5,5,3,4,4,5,5
