participant_id,question_number,question_text_ES,response_text_ES
G01,1,"En general, ¿cuál es su opinión del sistema?",Está bien hecho el sistema
G01,2,¿Le agradaron los sonidos y/o luces que contiene el dispositivo Torddis?,Si
G01,3,¿Le agradó el diseño de pantalla que contiene la aplicación móvil Torddis?,"Si, por el diseño"
G01,4,¿Le parece adecuada la forma de visualizar los datos del monitoreo de distracción de su hijo(a) en la aplicación móvil Torddis?,"Si, porque estaban bien ordenado"
G01,5,¿Cree usted que este sistema le ayudaría a mejorar la concentración de su hijo(a) de tal forma que usted se mantenga informado(a) cuando el menor se encuentre distraído?,"Si, porque está más concentrado"
G01,6,¿Considera que hay algo que se debería mejorar en el sistema Torddis (Dispositivo y Aplicación móvil)?,"Si, la cámara"
G01,7,¿Estaría usted dispuesto a continuar utilizando el sistema Torddis?,"Si, porque el niño aprende mejor"
G01,8,¿Les recomendaría este sistema a otras personas interesadas en monitorear la distracción de los niños(as) cuando realizan las tareas escolares?,"Si, porque es muy importante para la concentración de los niños"
G02,1,"En general, ¿cuál es su opinión del sistema?",Bien bonito
G02,2,¿Le agradaron los sonidos y/o luces que contiene el dispositivo Torddis?,"Si, mucho me agradó"
G02,3,¿Le agradó el diseño de pantalla que contiene la aplicación móvil Torddis?,"Si, porque es muy bonito"
G02,4,¿Le parece adecuada la forma de visualizar los datos del monitoreo de distracción de su hijo(a) en la aplicación móvil Torddis?,Si
G02,5,¿Cree usted que este sistema le ayudaría a mejorar la concentración de su hijo(a) de tal forma que usted se mantenga informado(a) cuando el menor se encuentre distraído?,"Si, porque me gustó mucho"
G02,6,¿Considera que hay algo que se debería mejorar en el sistema Torddis (Dispositivo y Aplicación móvil)?,No le falta nada
G02,7,¿Estaría usted dispuesto a continuar utilizando el sistema Torddis?,"Si, y mucho"
G02,8,¿Les recomendaría este sistema a otras personas interesadas en monitorear la distracción de los niños(as) cuando realizan las tareas escolares?,"Si, porque es muy bonito"
G03,1,"En general, ¿cuál es su opinión del sistema?",Qué está bien
G03,2,¿Le agradaron los sonidos y/o luces que contiene el dispositivo Torddis?,"Si, porque no se duerme haciendo tareas"
G03,3,¿Le agradó el diseño de pantalla que contiene la aplicación móvil Torddis?,"Si, me gustaron"
G03,4,¿Le parece adecuada la forma de visualizar los datos del monitoreo de distracción de su hijo(a) en la aplicación móvil Torddis?,"Si, está bien"
G03,5,¿Cree usted que este sistema le ayudaría a mejorar la concentración de su hijo(a) de tal forma que usted se mantenga informado(a) cuando el menor se encuentre distraído?,"Si, es bonito el uso"
G03,6,¿Considera que hay algo que se debería mejorar en el sistema Torddis (Dispositivo y Aplicación móvil)?,Otro diseño del contenedor del dispositivo
G03,7,¿Estaría usted dispuesto a continuar utilizando el sistema Torddis?,Si
G03,8,¿Les recomendaría este sistema a otras personas interesadas en monitorear la distracción de los niños(as) cuando realizan las tareas escolares?,Claro que si
G04,1,"En general, ¿cuál es su opinión del sistema?",Muy bonito
G04,2,¿Le agradaron los sonidos y/o luces que contiene el dispositivo Torddis?,"Si, porque es algo muy bonito para que el niño esté pendiente"
G04,3,¿Le agradó el diseño de pantalla que contiene la aplicación móvil Torddis?,"Si, me gustó"
G04,4,¿Le parece adecuada la forma de visualizar los datos del monitoreo de distracción de su hijo(a) en la aplicación móvil Torddis?,"Si, bien la aplicación"
G04,5,¿Cree usted que este sistema le ayudaría a mejorar la concentración de su hijo(a) de tal forma que usted se mantenga informado(a) cuando el menor se encuentre distraído?,"Si, para que el niño no se distraiga y aprenda mejor"
G04,6,¿Considera que hay algo que se debería mejorar en el sistema Torddis (Dispositivo y Aplicación móvil)?,Está todo bien
G04,7,¿Estaría usted dispuesto a continuar utilizando el sistema Torddis?,"Si, porque me gustó"
G04,8,¿Les recomendaría este sistema a otras personas interesadas en monitorear la distracción de los niños(as) cuando realizan las tareas escolares?,"Si, porque es muy bonito"
G05,1,"En general, ¿cuál es su opinión del sistema?",Qué es muy buena
G05,2,¿Le agradaron los sonidos y/o luces que contiene el dispositivo Torddis?,Si
G05,3,¿Le agradó el diseño de pantalla que contiene la aplicación móvil Torddis?,Si
G05,4,¿Le parece adecuada la forma de visualizar los datos del monitoreo de distracción de su hijo(a) en la aplicación móvil Torddis?,"Si, porque se hace muy fácil"
G05,5,¿Cree usted que este sistema le ayudaría a mejorar la concentración de su hijo(a) de tal forma que usted se mantenga informado(a) cuando el menor se encuentre distraído?,"Si, porque avisa cuando está distraído"
G05,6,¿Considera que hay algo que se debería mejorar en el sistema Torddis (Dispositivo y Aplicación móvil)?,No
G05,7,¿Estaría usted dispuesto a continuar utilizando el sistema Torddis?,Si
G05,8,¿Les recomendaría este sistema a otras personas interesadas en monitorear la distracción de los niños(as) cuando realizan las tareas escolares?,"Si, porque ayuda mucho"
G06,1,"En general, ¿cuál es su opinión del sistema?",Es de mucha ayuda para los padres
G06,2,¿Le agradaron los sonidos y/o luces que contiene el dispositivo Torddis?,"Si, porque llama la atención"
G06,3,¿Le agradó el diseño de pantalla que contiene la aplicación móvil Torddis?,"Si, por los colores"
G06,4,¿Le parece adecuada la forma de visualizar los datos del monitoreo de distracción de su hijo(a) en la aplicación móvil Torddis?,"Si, porque es fácil"
G06,5,¿Cree usted que este sistema le ayudaría a mejorar la concentración de su hijo(a) de tal forma que usted se mantenga informado(a) cuando el menor se encuentre distraído?,"Si, por la alarma para saber si esta atento o no"
G06,6,¿Considera que hay algo que se debería mejorar en el sistema Torddis (Dispositivo y Aplicación móvil)?,La camara esta borrosa
G06,7,¿Estaría usted dispuesto a continuar utilizando el sistema Torddis?,"Si, para estar atento a mi hijo"
G06,8,¿Les recomendaría este sistema a otras personas interesadas en monitorear la distracción de los niños(as) cuando realizan las tareas escolares?,"Si, para que sus niños esten atentos a las tareas"
G07,1,"En general, ¿cuál es su opinión del sistema?",Que es muy bonita
G07,2,¿Le agradaron los sonidos y/o luces que contiene el dispositivo Torddis?,Si
G07,3,¿Le agradó el diseño de pantalla que contiene la aplicación móvil Torddis?,"Si, los colores estaban bonitos"
G07,4,¿Le parece adecuada la forma de visualizar los datos del monitoreo de distracción de su hijo(a) en la aplicación móvil Torddis?,"Si, para saber todos los datos"
G07,5,¿Cree usted que este sistema le ayudaría a mejorar la concentración de su hijo(a) de tal forma que usted se mantenga informado(a) cuando el menor se encuentre distraído?,"Si, para ponerle saber que esta pasando de porque no hace las tareas"
G07,6,¿Considera que hay algo que se debería mejorar en el sistema Torddis (Dispositivo y Aplicación móvil)?,"no, para mi esta bien"
G07,7,¿Estaría usted dispuesto a continuar utilizando el sistema Torddis?,"Si, me ayudaria a tener en cuenta a mi hijo"
G07,8,¿Les recomendaría este sistema a otras personas interesadas en monitorear la distracción de los niños(as) cuando realizan las tareas escolares?,"Si, para que los papás sepan que hacen sus hijos"
G08,1,"En general, ¿cuál es su opinión del sistema?",Me gusto la parte de ver el video en vivo
G08,2,¿Le agradaron los sonidos y/o luces que contiene el dispositivo Torddis?,"Si, porque informa que está distraído"
G08,3,¿Le agradó el diseño de pantalla que contiene la aplicación móvil Torddis?,"Si, esta bonito"
G08,4,¿Le parece adecuada la forma de visualizar los datos del monitoreo de distracción de su hijo(a) en la aplicación móvil Torddis?,"Si, con la cámara que tiene"
G08,5,¿Cree usted que este sistema le ayudaría a mejorar la concentración de su hijo(a) de tal forma que usted se mantenga informado(a) cuando el menor se encuentre distraído?,"Si, cuando suena la alarma para que este atento"
G08,6,¿Considera que hay algo que se debería mejorar en el sistema Torddis (Dispositivo y Aplicación móvil)?,Mejorar la cajita de camara
G08,7,¿Estaría usted dispuesto a continuar utilizando el sistema Torddis?,Si
G08,8,¿Les recomendaría este sistema a otras personas interesadas en monitorear la distracción de los niños(as) cuando realizan las tareas escolares?,"Si, porque esta bonita"
G09,1,"En general, ¿cuál es su opinión del sistema?",Me avisa cuando mi hijo se desconcentra
G09,2,¿Le agradaron los sonidos y/o luces que contiene el dispositivo Torddis?,"Si, porque hace que el niño se despierte"
G09,3,¿Le agradó el diseño de pantalla que contiene la aplicación móvil Torddis?,"Si, los gráficos están bonitos"
G09,4,¿Le parece adecuada la forma de visualizar los datos del monitoreo de distracción de su hijo(a) en la aplicación móvil Torddis?,"Si, me ayuda a ver como esta mi niña con las tareas"
G09,5,¿Cree usted que este sistema le ayudaría a mejorar la concentración de su hijo(a) de tal forma que usted se mantenga informado(a) cuando el menor se encuentre distraído?,"Si, ayuda cuando no lo estoy vigilando"
G09,6,¿Considera que hay algo que se debería mejorar en el sistema Torddis (Dispositivo y Aplicación móvil)?,"La camara no se ve bien, se podria mejorar con una mejor."
G09,7,¿Estaría usted dispuesto a continuar utilizando el sistema Torddis?,"Si, me ayudaria mucho"
G09,8,¿Les recomendaría este sistema a otras personas interesadas en monitorear la distracción de los niños(as) cuando realizan las tareas escolares?,"Si, porque ayuda a estar atento a las tareas"
G10,1,"En general, ¿cuál es su opinión del sistema?",que esta bien el sistema
G10,2,¿Le agradaron los sonidos y/o luces que contiene el dispositivo Torddis?,Si
G10,3,¿Le agradó el diseño de pantalla que contiene la aplicación móvil Torddis?,"Si, todo esta bien acomodado"
G10,4,¿Le parece adecuada la forma de visualizar los datos del monitoreo de distracción de su hijo(a) en la aplicación móvil Torddis?,"Si, todo bien organizado"
G10,5,¿Cree usted que este sistema le ayudaría a mejorar la concentración de su hijo(a) de tal forma que usted se mantenga informado(a) cuando el menor se encuentre distraído?,"Si, esta bonita la alerta"
G10,6,¿Considera que hay algo que se debería mejorar en el sistema Torddis (Dispositivo y Aplicación móvil)?,Todo estab bien bonito
G10,7,¿Estaría usted dispuesto a continuar utilizando el sistema Torddis?,"Si, para saber que esta pasando con mi niño"
G10,8,¿Les recomendaría este sistema a otras personas interesadas en monitorear la distracción de los niños(as) cuando realizan las tareas escolares?,"Si, para que vean si hace deberes"
G11,1,"En general, ¿cuál es su opinión del sistema?",Esta bonito
G11,2,¿Le agradaron los sonidos y/o luces que contiene el dispositivo Torddis?,"Si, porque hace que el niño esté pendiente"
G11,3,¿Le agradó el diseño de pantalla que contiene la aplicación móvil Torddis?,"Si, por los colores de las opciones"
G11,4,¿Le parece adecuada la forma de visualizar los datos del monitoreo de distracción de su hijo(a) en la aplicación móvil Torddis?,"Si, para saber cuando esta atento o no."
G11,5,¿Cree usted que este sistema le ayudaría a mejorar la concentración de su hijo(a) de tal forma que usted se mantenga informado(a) cuando el menor se encuentre distraído?,"Si, para saber cuando no esta poniendo atención."
G11,6,¿Considera que hay algo que se debería mejorar en el sistema Torddis (Dispositivo y Aplicación móvil)?,La camara más clara
G11,7,¿Estaría usted dispuesto a continuar utilizando el sistema Torddis?,"Si, ayuda a saber  si mi hijo no esta haciendo deberes"
G11,8,¿Les recomendaría este sistema a otras personas interesadas en monitorear la distracción de los niños(as) cuando realizan las tareas escolares?,"Si, ayuda a tener control de la dedicación a los deberes"
G12,1,"En general, ¿cuál es su opinión del sistema?",me notifica cuando el no está en su mesa
G12,2,¿Le agradaron los sonidos y/o luces que contiene el dispositivo Torddis?,"Si, porque hace que el niño regrese a su lugar de estudio"
G12,3,¿Le agradó el diseño de pantalla que contiene la aplicación móvil Torddis?,"Si, esta agradable"
G12,4,¿Le parece adecuada la forma de visualizar los datos del monitoreo de distracción de su hijo(a) en la aplicación móvil Torddis?,"Si, se entiende"
G12,5,¿Cree usted que este sistema le ayudaría a mejorar la concentración de su hijo(a) de tal forma que usted se mantenga informado(a) cuando el menor se encuentre distraído?,"Si, para saber que esta haciendo y llamarle la atención"
G12,6,¿Considera que hay algo que se debería mejorar en el sistema Torddis (Dispositivo y Aplicación móvil)?,Más grande las letras
G12,7,¿Estaría usted dispuesto a continuar utilizando el sistema Torddis?,"Si, para que suene la alarma y se ponga a hacer deberes"
G12,8,¿Les recomendaría este sistema a otras personas interesadas en monitorear la distracción de los niños(as) cuando realizan las tareas escolares?,"Si, para que ayude a los padres."
