session_id,event_id,person_latency_s,person_outcome,facial_latency_s,facial_outcome,drowsiness_latency_s,drowsiness_outcome,object_latency_s,object_outcome
1,1,0.60,TP,1.20,TP,3.50,TP,1.68,TP
1,2,0.57,TP,0.82,TP,2.73,TP,1.68,TP
1,3,0.00,FN,0.70,TP,0.00,FN,0.00,FN
1,4,0.78,TP,0.89,TP,2.63,TP,1.72,TP
1,5,1.02,TP,0.83,TP,2.09,TP,0.00,FN
2,1,1.20,TP,0.99,TP,1.79,TP,2.03,TP
2,2,0.82,TP,0.78,TP,2.97,TP,1.93,TP
2,3,0.76,TP,1.03,TP,4.08,TP,1.79,TP
2,4,1.20,TP,0.79,TP,3.17,TP,1.76,TP
2,5,0.88,TP,1.23,TP,2.72,TP,1.95,TP
3,1,0.53,TP,0.00,FN,0.00,FN,1.73,TP
3,2,0.69,TP,2.01,TP,4.57,TP,4.12,TP
3,3,0.67,TP,1.17,TP,2.70,TP,1.54,TP
3,4,0.82,TP,1.83,TP,3.29,TP,2.69,TP
3,5,0.93,TP,1.68,TP,3.14,TP,2.81,TP
4,1,0.58,TP,1.76,TP,3.45,TP,2.94,TP
4,2,0.80,TP,1.45,TP,0.39,TP,0.09,TP
4,3,0.08,TP,0.19,TP,0.65,TP,3.08,FP
4,4,0.29,TP,1.30,TP,3.68,TP,1.79,TP
4,5,0.26,TP,0.00,FN,3.37,TP,0.97,TP
4,6,0.00,FN,1.38,TP,3.29,TP,1.97,TP
4,7,0.89,TP,1.44,TP,0.90,TP,0.11,TP
5,1,0.74,TP,1.19,FP,1.86,TP,1.66,TP
5,2,0.29,TP,1.83,FP,2.96,TP,1.73,TP
5,3,0.99,TP,0.68,TP,3.38,FP,1.70,FP
5,4,0.03,TP,0.92,TP,0.62,TP,0.83,TP
5,5,0.60,TP,0.78,TP,2.24,TP,0.00,FN
6,1,0.35,TP,1.10,TP,0.90,TP,0.48,TP
6,2,0.87,TP,1.24,TP,1.07,TP,2.72,TP
6,3,0.99,TP,0.00,FN,0.60,TP,1.89,TP
6,4,0.91,TP,0.01,TP,1.94,TP,3.18,TP
6,5,0.06,TP,0.69,TP,1.61,TP,1.48,TP
7,1,0.89,TP,1.65,TP,0.90,TP,2.46,TP
7,2,1.06,TP,0.05,TP,3.30,TP,2.61,TP
7,3,0.00,FN,0.00,FN,0.98,TP,1.74,TP
7,4,0.52,TP,0.97,TP,2.03,TP,2.05,TP
7,5,0.23,TP,1.14,TP,0.00,FN,2.73,TP
7,6,0.88,TP,0.32,TP,1.72,TP,3.03,TP
8,1,0.42,TP,0.32,TP,0.71,TP,0.42,TP
8,2,0.44,TP,0.67,TP,3.23,FP,2.27,TP
8,3,0.69,TP,0.19,TP,2.91,TP,2.72,TP
8,4,0.02,TP,0.00,FN,1.42,TP,0.80,TP
8,5,0.69,TP,0.87,TP,3.03,TP,1.95,TP
8,6,0.60,TP,0.64,TP,1.78,TP,1.99,FP
9,1,0.14,TP,1.15,TP,1.62,TP,0.29,TP
9,2,0.63,TP,1.14,TP,2.80,TP,1.30,TP
9,3,0.51,TP,1.22,TP,2.13,TP,1.09,TP
9,4,0.03,TP,1.59,TP,1.97,TP,0.97,TP
9,5,0.05,TP,0.85,TP,0.97,TP,2.43,TP
10,1,1.16,TP,1.52,TP,2.41,TP,1.02,TP
10,2,0.45,TP,0.00,FN,1.24,TP,1.98,TP
10,3,0.07,TP,1.05,TP,4.09,FP,1.77,TP
10,4,0.43,TP,1.20,TP,0.19,TP,1.17,TP
10,5,0.27,TP,0.82,TP,3.12,TP,1.75,TP
10,6,0.12,TP,1.10,TP,0.82,TP,1.38,TP
11,1,0.55,TP,0.51,TP,2.40,TP,2.62,TP
11,2,0.23,TP,0.70,TP,3.36,TP,1.91,TP
11,3,0.16,TP,0.98,TP,2.88,TP,0.33,TP
11,4,1.01,TP,0.00,FN,1.53,TP,3.22,TP
11,5,0.88,TP,1.60,FP,2.97,TP,0.50,TP
11,6,0.00,FN,1.21,TP,1.01,TP,3.05,TP
