session_id,person_latency_s,person_success,facial_latency_s,facial_success,drowsiness_latency_s,drowsiness_success,object_latency_s,object_success
1,0.57,1,1.50,1,5.10,1,0.00,0
2,0.60,1,1.20,1,3.50,1,1.68,1
3,0.00,0,0.70,1,0.00,0,0.00,0
4,0.78,1,1.30,1,3.68,1,1.79,1
5,1.02,1,0.78,1,2.24,1,0.00,0
6,0.88,1,1.01,0,2.63,1,1.98,1
7,0.53,1,1.23,1,0.00,0,1.73,1
8,1.20,1,0.97,1,2.03,1,2.05,1
9,0.76,1,1.05,1,4.09,1,1.77,1
10,1.20,1,0.70,1,3.36,1,1.91,1
11,0.69,1,1.99,1,4.69,1,4.27,1
12,0.82,1,1.83,1,3.29,1,2.69,1
13,0.93,1,1.68,1,3.14,1,2.81,1
14,0.58,1,1.76,1,3.45,1,2.94,1
