participant_id,sus_1,sus_2,sus_3,sus_4,sus_5,sus_6,sus_7,sus_8,sus_9,sus_10,sus_score
P01,5,1,4,1,4,1,4,1,4,1,90.0
P02,5,2,5,1,5,1,5,1,5,2,95.0
P03,5,3,3,3,5,1,4,3,4,2,72.5
P04,4,3,3,2,4,2,3,3,3,3,60.0
P05,4,3,5,1,4,2,5,1,5,1,87.5
P06,5,1,4,1,4,1,4,1,4,1,90.0
P07,4,3,5,3,5,2,4,3,5,2,75.0
P08,4,3,5,1,5,3,5,2,4,1,82.5
P09,5,1,4,2,5,3,4,1,5,1,87.5
P10,4,2,5,1,4,2,5,1,4,2,85.0
P11,4,2,3,2,4,2,3,3,4,2,67.5
P12,5,2,5,1,5,1,5,1,4,2,92.5
P13,4,2,3,2,4,2,4,3,3,2,67.5
P14,4,1,4,2,4,2,4,1,4,1,82.5
P15,4,1,4,2,4,2,5,1,5,2,85.0
P16,5,2,5,1,5,1,5,1,5,1,97.5
P17,4,2,3,3,5,1,5,2,5,2,80.0
P18,5,2,5,1,5,1,4,1,5,2,92.5
P19,4,1,4,1,5,1,4,2,4,1,87.5
